Sno,Weight
0,-0.003707438
1,0.0027358262
2,0.029531121
3,-0.016002504
4,0.061397225
5,0.051263157
6,0.043907054
7,0.03784853
8,0.035604287
9,0.057372283
10,0.035425395
11,0.0691692
12,0.017675096
13,0.011668224
14,0.0436296
15,0.023287589
16,0.035415534
17,0.05082187
18,0.055838823
19,0.015943171
20,0.01763737
21,0.07926842
22,0.033884056
23,-0.2167437
24,-0.08624145
25,-0.051491424
26,0.24592346
27,0.027728336
28,0.027187793
29,0.023739863
30,0.03368734
31,0.037643608
32,-0.022068296
33,-0.028778816
34,0.12571275
35,0.09106607
36,0.04161629
37,0.038835935
38,0.03454061
39,0.019450039
40,-6.0754246e-05
41,-0.0017057847
42,-0.01715988
43,-0.004097389
44,-0.059229612
45,-0.005171985
46,0.13241412
47,-0.039152488
48,0.0031858375
49,-0.018365301
50,-0.006054518
51,-0.0036810727
52,-0.061717253
53,-0.07925567
54,-0.020949185
55,0.26183113
56,0.046034336
57,0.050865076
58,0.023203073
59,0.049654823
60,0.027563207
61,0.041648526
62,0.03372318
63,0.038533024
64,0.01367509
65,0.05073231
66,0.036744986
67,0.049222358
68,0.0068271253
69,-0.026990091
70,0.03569454
71,0.0070403195
72,-0.002368825
73,-0.008637041
74,0.0017309898
75,-0.010268735
76,0.044867005
77,0.021780182
78,0.048717394
79,0.03621434
80,-0.114674225
81,0.12520498
82,0.109058715
83,0.071741775
84,0.07680083
85,0.10033638
86,-0.059189904
87,-0.032498747
88,-0.0054244883
89,0.032691482
90,0.017481476
91,0.025704557
92,-0.045730308
93,0.10299587
94,0.07726723
95,0.21751137
96,-0.07014608
97,0.072406955
98,0.32028335
99,0.21965092
100,0.04936278
101,0.028262377
102,0.0621298
103,0.05649554
104,0.07821447
105,-0.07214791
106,0.20479903
107,0.03012458
108,-0.008846157
109,-0.027273279
110,0.09897249
111,0.11710158
112,0.029126192
113,0.040994123
114,0.050096124
115,0.052646656
116,-0.05274115
117,0.123995855
118,0.040154982
119,0.022247493
120,0.04488841
121,0.045010533
122,0.06623708
123,0.06760627
124,0.043004725
125,0.032774765
126,0.045968242
127,0.052912712
128,0.020667415
129,0.027971262
130,0.0065175486
131,0.020453261
132,0.05252935
133,0.06272988
134,0.038353514
135,0.07165632
136,0.03352228
137,0.057047702
138,0.06888226
139,0.033616345
140,-0.10621086
141,0.10848168
142,0.036294404
143,-0.01397111
144,0.035621546
145,0.046830475
146,0.046398398
147,0.045531657
