Sno,Weight
0,-0.03089013
1,0.010310632
2,-0.034174852
3,-0.1056227
4,-0.01599703
5,0.042695172
6,-0.16123717
7,0.03089533
8,0.005906528
9,-0.102144845
10,0.018808918
11,-0.04406076
12,-0.004886668
13,0.028597554
14,0.030313058
15,0.04636281
16,-0.037504345
17,0.020062337
18,0.011770245
19,-0.03620735
20,0.020304795
21,-0.005820006
22,0.013426245
23,0.0022036664
24,-0.03296104
25,-0.076353766
26,0.021498391
27,0.016746037
28,-0.09272256
29,-0.012164755
30,0.004369059
31,0.00555591
32,-0.009515038
33,0.047719054
34,-0.054537818
35,-0.08883121
36,-0.019965308
37,0.0058714026
38,0.007751279
39,0.025879111
40,0.025954638
41,-0.07368322
42,0.027568635
43,-0.12712024
44,0.023070823
45,-0.035340134
46,-0.040516973
47,-0.011398135
48,0.058503695
49,-0.12629004
50,-0.0147139635
51,0.015499086
52,0.040736903
53,-0.17091355
54,-0.043239035
55,-0.055192243
56,0.046995644
57,0.087494075
58,0.0127356555
59,-0.013841976
60,0.016409509
61,0.012767194
62,0.02839905
63,-0.060394462
64,-0.08991654
65,-0.007660681
66,0.026228657
67,0.014294872
68,0.03181731
69,0.020764096
70,0.0020848557
71,0.014477401
72,0.037832398
73,0.02047902
74,-0.04902556
75,-0.07329176
76,0.021117695
77,0.015887776
78,-0.003947009
79,-0.016135767
80,-0.010608556
81,-0.01248378
82,-0.022588052
83,0.032894295
84,0.0021292958
85,-0.0046477183
86,0.07235405
87,0.020992925
88,-0.015891736
89,-0.034412
90,0.020576093
91,-0.19782513
92,0.027653202
93,0.007518677
94,0.0016563446
95,-0.13104568
96,0.080254465
97,0.01793103
98,0.03262991
99,-0.012795915
100,-0.0050507956
101,0.042275965
102,0.025943283
103,0.028749552
104,0.021686437
105,0.008878477
106,-0.065667406
107,-0.009369869
108,-0.15774809
109,-0.0212935
110,-0.010277161
111,0.027106868
112,0.03662899
113,-0.16483325
114,-0.0027936585
115,0.0065387464
116,0.037766766
117,-0.034928046
118,-0.0038898787
119,-0.030005738
120,-0.049379863
121,0.034064863
122,-0.062377274
123,0.014705276
124,-0.034210768
125,-0.25241977
126,0.010862729
127,-0.0032086784
