Sno,Weight
0,-0.0013895668
1,0.012067221
2,0.002221627
3,0.0007992177
4,-0.008763744
5,-0.00535482
6,-0.0026525771
7,-0.0024840909
8,0.012444569
9,-0.0067720395
10,-0.0007869876
11,-0.0035212662
12,0.018979246
13,0.004300266
14,0.008591111
15,0.004921348
16,0.015303723
17,-0.0071237525
18,0.0076449355
19,-0.009450056
20,-0.0068642227
21,-0.017324967
22,-0.008652404
23,-0.011100021
24,0.010181672
25,0.003276575
26,-0.0067952797
27,0.0050607016
28,0.009565471
29,-0.013462357
30,-0.0018525546
31,8.0802194e-05
32,-0.0050629578
33,0.013826842
34,0.00016085022
35,0.007317657
36,-0.0024870515
37,0.0188515
38,-0.0025883915
39,-0.00024773012
40,-0.007471839
41,-0.016538542
42,-0.008362487
43,-0.0133656375
44,0.010136399
45,-0.0013364702
46,0.008789209
47,0.011746157
48,0.0104004145
49,7.346914e-05
50,0.0068360292
51,0.013521693
52,-0.013299516
53,-0.0065382277
54,0.0012764041
55,-0.009314407
56,-0.0018689622
57,0.0010761708
58,0.009455254
59,-0.018343592
60,-0.00046210046
61,-0.0019485472
62,0.0056892643
63,-0.005895718
64,0.0047433507
65,-0.0015065618
66,0.009204589
67,-0.006722662
68,-0.0037232758
69,0.018446708
70,0.007201988
71,0.0042470745
72,-0.018371604
73,0.008365588
74,0.0045187855
75,-0.0041987402
76,0.008733468
77,0.017787993
78,0.015289871
79,0.007368359
80,-0.00335626
81,-0.00014696954
82,0.011764217
83,0.0042723697
84,-0.004216713
85,0.0016585703
86,0.0054945527
87,0.009051254
88,0.0044429153
89,0.0005794859
90,-0.0032041853
91,0.0045374664
92,-0.012556618
93,0.006888287
94,0.0067778323
95,0.014569889
96,-0.010224631
97,0.0026245594
98,-0.0025974815
99,-0.0056656604
100,0.005504423
101,-0.0043992205
102,-0.0015473351
103,-0.010153259
104,-0.001263625
105,-0.008830457
106,-0.0053647785
107,0.008786861
108,-0.0042679594
109,0.0008993188
110,0.014475735
111,0.0049422905
112,-0.008703727
113,0.00050174445
114,-0.0009807338
115,-0.004543281
116,0.011749763
117,-0.0028665948
118,-0.0050783474
119,-0.009295129
120,-0.0030526146
121,0.008610848
122,-0.00066814374
123,0.005096102
124,-0.0012741765
125,0.0026812165
126,0.006558163
127,0.007044573
128,-0.05280616
129,0.03259207
130,-0.062475637
131,0.054541036
132,0.0016816218
133,0.03846638
134,0.020980706
135,0.042924557
136,0.02954537
137,-0.0786698
138,-0.05878826
139,0.016291829
140,-0.086622864
141,0.04815668
142,-0.001407767
143,-0.04539461
144,0.043147475
145,0.010179781
146,0.040696695
147,0.043363627
148,0.009915339
149,-0.00030359792
150,0.026601914
151,-0.032094248
152,0.029855806
153,0.030689051
154,-0.027226213
155,0.015203984
156,-0.021609494
157,-0.07745494
158,-0.002178324
159,0.0014506008
160,-0.06839294
161,-0.0020484524
162,-0.07459954
163,-0.0013924501
164,0.0015778388
165,0.055375297
166,0.030424347
167,0.026968423
168,-0.06877427
169,0.051278558
170,0.025493976
171,0.04028941
172,-0.0010725636
173,0.015380034
174,-0.090632334
175,-0.0052057207
176,-0.058092654
177,0.046012957
178,0.049237557
179,0.0484712
180,0.04215839
181,0.035344187
182,0.035984635
183,0.01257993
184,0.040606607
185,-0.10913791
186,0.083058804
187,0.051662438
188,-0.02954923
189,-0.0019866242
190,0.049305256
191,0.020974942
192,0.017953305
193,0.039446235
194,-0.030601805
195,0.038393937
196,0.051495314
197,0.0054911682
198,0.045393337
199,-0.009315207
200,0.016737435
201,0.02316698
202,-0.0006603197
203,-0.057554007
204,-0.0007385021
205,0.04051627
206,0.01094625
207,-0.038361408
208,0.0035110905
209,0.037023243
210,-0.07240829
211,-0.003395537
212,0.050637104
213,0.025368106
214,0.02485072
215,-0.07128563
216,-0.059654407
217,0.06471822
218,-0.0010378056
219,-0.046515416
220,-0.059316225
221,0.036470864
222,-0.0021753702
223,0.058176875
224,0.030439448
225,0.03806297
226,-0.07129313
227,0.05171595
228,-0.066331625
229,-0.069534324
230,0.020326598
231,-0.0006782284
232,0.0100520095
233,0.03843802
234,0.041607853
235,-0.014041071
236,-0.009779144
237,-0.047865715
238,0.023958845
239,0.0023414497
240,0.0004794644
241,0.045949563
242,-0.00013374284
243,-0.010530763
244,-0.032644548
245,0.023943258
246,-0.014712476
247,0.049403843
248,-0.025610188
249,0.037238184
250,0.051291477
251,-0.008586516
252,0.054064818
253,0.011916859
254,0.049918994
255,0.032762546
256,0.03462008
257,-0.009177693
258,-0.05620152
259,-0.03971572
260,0.07509842
261,-7.822977e-05
262,0.030204944
263,-0.03745066
264,0.047819782
265,0.07596531
266,0.03476249
267,0.01771232
268,-0.09191932
269,-0.042753305
270,0.045164466
271,0.07302781
272,0.017803404
273,0.021536242
274,0.041702665
275,-0.07045105
276,0.019234892
277,-0.0023339957
278,-0.08458542
279,0.020026436
280,0.002515438
281,0.02612401
282,-0.013738664
283,0.035908636
284,0.054856203
285,0.07483257
286,0.0856636
287,0.023211937
288,-0.0683655
289,-0.0040928693
290,0.080363415
291,-0.0010242368
292,-0.008491362
293,-0.072473854
294,0.0006396002
295,7.608666e-05
296,-0.06832942
297,-0.0077123484
298,0.00750007
299,0.06637117
300,-0.026587551
301,0.004247336
302,-0.0903259
303,-0.00090808875
304,0.050008144
305,-0.03308489
306,0.008034423
307,0.005055821
308,0.030259077
309,0.02716822
310,-0.00020879068
311,7.135922e-06
312,-0.011330605
313,-0.0017194939
314,-0.07887682
315,0.032471374
316,0.09470192
317,-0.008562605
318,-0.012720012
319,0.06214418
320,0.04650313
321,-7.127425e-05
322,0.057497665
323,-0.0031554368
324,0.04889519
325,0.046752747
326,0.02621607
327,0.08151788
328,0.011005951
329,0.03316573
330,0.052709017
331,0.033644218
332,-0.00013574379
333,0.06081482
334,-0.00020346625
335,0.09774783
336,0.012345255
337,0.051910933
338,-0.07278445
339,0.08177691
340,0.014158561
341,0.03775483
342,-0.010589453
343,-0.00074352813
344,0.045408227
345,-0.046347193
346,0.051781397
347,-0.04881329
348,0.04152921
349,-0.009280687
350,0.043690704
351,-0.025606781
352,0.031540032
353,-0.035207167
354,-0.07156725
355,-0.049577396
356,-0.06625826
357,0.052279558
358,-0.039849553
359,0.0065656225
360,0.039221752
361,0.06426361
362,0.05053279
363,-0.039345577
364,-0.07320709
365,-0.03385618
366,-0.0008211718
367,-0.03734922
368,0.014423552
369,-0.063922346
370,0.042776216
371,0.018868549
372,0.03173608
